distributor_id,distributor_name,region,category,contact_person,phone,email,address,credit_limit,outstanding,status,onboard_date,last_order_date
DIST_020,ABC Distributors 20,Central,FMCG,Contact Person 20,+91-9876517523,contact20@distributor.com,"Address Line 20, City-800939",774309,78392,Inactive,2024-05-30,2025-09-26
DIST_021,ABC Distributors 21,North,Textiles,Contact Person 21,+91-9876595223,contact21@distributor.com,"Address Line 21, City-516126",806922,485220,Suspended,2023-12-16,2025-09-27
DIST_022,ABC Distributors 22,Central,Pharma,Contact Person 22,+91-9876549134,contact22@distributor.com,"Address Line 22, City-523688",395395,440571,Active,2024-03-03,2025-09-03
DIST_023,ABC Distributors 23,East,Automotive,Contact Person 23,+91-9876514863,contact23@distributor.com,"Address Line 23, City-403321",970375,67353,Inactive,2024-09-08,2025-09-28
DIST_024,ABC Distributors 24,Central,FMCG,Contact Person 24,+91-9876558984,contact24@distributor.com,"Address Line 24, City-951584",111600,13739,Suspended,2025-01-19,2025-09-16
DIST_025,ABC Distributors 25,Central,FMCG,Contact Person 25,+91-9876556087,contact25@distributor.com,"Address Line 25, City-391666",903315,455771,Suspended,2024-07-08,2025-09-11
DIST_026,ABC Distributors 26,Central,FMCG,Contact Person 26,+91-9876568038,contact26@distributor.com,"Address Line 26, City-116966",166105,168397,Suspended,2024-05-17,2025-09-09
DIST_027,ABC Distributors 27,South,Automotive,Contact Person 27,+91-9876538388,contact27@distributor.com,"Address Line 27, City-186439",130902,36264,Suspended,2025-03-05,2025-09-20
DIST_028,ABC Distributors 28,North,Automotive,Contact Person 28,+91-9876512586,contact28@distributor.com,"Address Line 28, City-339968",949642,110916,Suspended,2024-08-23,2025-09-14
DIST_029,ABC Distributors 29,North,Automotive,Contact Person 29,+91-9876551527,contact29@distributor.com,"Address Line 29, City-645275",436258,37202,Inactive,2025-02-22,2025-09-11
DIST_030,ABC Distributors 30,North,Pharma,Contact Person 30,+91-9876540342,contact30@distributor.com,"Address Line 30, City-380040",666507,326344,Active,2024-06-30,2025-09-04
DIST_031,ABC Distributors 31,East,Electronics,Contact Person 31,+91-9876538061,contact31@distributor.com,"Address Line 31, City-721975",849648,134346,Inactive,2024-12-09,2025-09-05
DIST_032,ABC Distributors 32,West,Electronics,Contact Person 32,+91-9876536645,contact32@distributor.com,"Address Line 32, City-800155",875952,177542,Active,2024-06-27,2025-09-28
DIST_033,ABC Distributors 33,East,Pharma,Contact Person 33,+91-9876530564,contact33@distributor.com,"Address Line 33, City-961027",665717,269954,Inactive,2024-12-15,2025-09-20
DIST_034,ABC Distributors 34,North,Textiles,Contact Person 34,+91-9876557005,contact34@distributor.com,"Address Line 34, City-537664",992219,278321,Suspended,2024-05-06,2025-09-23
DIST_035,ABC Distributors 35,North,Automotive,Contact Person 35,+91-9876560281,contact35@distributor.com,"Address Line 35, City-649837",971290,365725,Inactive,2024-03-02,2025-09-12
DIST_036,ABC Distributors 36,West,Textiles,Contact Person 36,+91-9876535214,contact36@distributor.com,"Address Line 36, City-108231",746379,457712,Suspended,2024-02-21,2025-09-30
DIST_037,ABC Distributors 37,South,Textiles,Contact Person 37,+91-9876575709,contact37@distributor.com,"Address Line 37, City-862583",655447,138205,Active,2024-04-07,2025-09-17
DIST_038,ABC Distributors 38,South,Automotive,Contact Person 38,+91-9876531460,contact38@distributor.com,"Address Line 38, City-895411",486777,314703,Suspended,2024-06-27,2025-09-28
DIST_039,ABC Distributors 39,West,Electronics,Contact Person 39,+91-9876579191,contact39@distributor.com,"Address Line 39, City-519369",528661,111611,Active,2024-09-14,2025-09-13
DIST_040,ABC Distributors 40,Central,Pharma,Contact Person 40,+91-9876558292,contact40@distributor.com,"Address Line 40, City-442513",816065,458489,Active,2024-01-09,2025-09-18
DIST_041,ABC Distributors 41,South,Pharma,Contact Person 41,+91-9876589301,contact41@distributor.com,"Address Line 41, City-584019",720058,198210,Suspended,2025-07-05,2025-09-29
DIST_042,ABC Distributors 42,North,FMCG,Contact Person 42,+91-9876580556,contact42@distributor.com,"Address Line 42, City-949768",576498,175197,Inactive,2024-07-13,2025-09-24
DIST_043,ABC Distributors 43,West,Textiles,Contact Person 43,+91-9876540992,contact43@distributor.com,"Address Line 43, City-575019",716444,431467,Active,2024-03-25,2025-09-03
DIST_044,ABC Distributors 44,North,Textiles,Contact Person 44,+91-9876592312,contact44@distributor.com,"Address Line 44, City-351759",272417,295322,Active,2025-02-20,2025-09-22
DIST_045,ABC Distributors 45,North,Electronics,Contact Person 45,+91-9876530997,contact45@distributor.com,"Address Line 45, City-133805",311788,198431,Active,2025-07-19,2025-09-19
DIST_046,ABC Distributors 46,South,Textiles,Contact Person 46,+91-9876582866,contact46@distributor.com,"Address Line 46, City-526499",818313,472128,Inactive,2025-02-27,2025-09-13
DIST_047,ABC Distributors 47,East,Electronics,Contact Person 47,+91-9876536467,contact47@distributor.com,"Address Line 47, City-524315",845607,497631,Suspended,2024-06-02,2025-09-11
DIST_048,ABC Distributors 48,Central,FMCG,Contact Person 48,+91-9876537671,contact48@distributor.com,"Address Line 48, City-198305",184388,372506,Suspended,2025-05-06,2025-09-06
DIST_049,ABC Distributors 49,East,Automotive,Contact Person 49,+91-9876538945,contact49@distributor.com,"Address Line 49, City-877879",379139,193445,Inactive,2024-05-17,2025-09-08
DIST_050,ABC Distributors 50,Central,Automotive,Contact Person 50,+91-9876577836,contact50@distributor.com,"Address Line 50, City-735586",680079,333708,Inactive,2024-04-25,2025-09-21

